,POSTED_BY,UNDER_CONSTRUCTION,BHK_NO,SQUARE_FT,LONGITUDE,LATITUDE,PRICE
0,1,0,2,1300.236407,12.96991,77.59796,55.0
1,0,0,2,1275.0,12.274538,76.644605,51.0
2,1,0,2,933.1597222,12.778033,77.632191,43.0
3,1,0,2,929.9211427,28.6423,77.3445,62.5
4,0,1,2,999.009247,22.5922,88.484911,60.5
5,1,0,3,1250.0,10.03328,76.28257099999999,42.0
6,0,0,3,1495.053957,26.916347,75.7956,66.5
7,1,0,3,1181.012946,30.74,76.65,52.0
8,0,0,2,1040.0,13.054202,77.674002,41.6
9,1,0,2,879.1208791000001,12.95161,80.14097,36.0
10,1,0,3,1350.308642,26.724219,88.326357,35.0
11,0,0,2,1333.010179,13.04034,77.591347,110.0
12,1,0,2,927.1779023,12.96991,77.59796,48.0
13,1,0,2,1122.1719460000002,28.587711,77.403123,62.0
15,0,1,3,1394.117647,28.429614,77.481711,71.1
16,1,0,3,1800.08471,20.275267000000003,85.86240699999999,85.0
17,0,1,3,2124.896706,12.8855,77.5638,180.0
18,1,0,2,1100.0,21.15389,79.08306,22.0
19,0,0,3,2178.649237,13.092356,77.61346800000001,120.0
20,1,0,2,881.1435285,13.05,80.11,45.0
21,0,0,2,944.8818898,18.452663,73.93104,42.0
22,0,0,3,1310.147689,28.5041,77.381557,55.0
23,0,0,1,630.00063,19.05444,72.84056,300.0
24,0,0,2,1219.80971,21.105779,79.078497,50.0
25,1,0,2,780.141844,22.54111,88.33778000000001,27.5
26,1,0,3,1600.0,28.63601,77.433724,46.0
27,0,0,2,1180.412371,30.712867,76.648557,22.9
28,1,1,2,1000.0,24.48,86.7,39.0
30,0,0,3,1400.107701,28.40473,77.367514,52.0
31,0,0,2,943.1266076,28.5041,77.381557,33.0
32,1,0,2,1150.146382,26.586306,74.873234,55.0
33,0,1,1,864.0674393999999,19.18,72.96333,82.0
34,0,0,2,857.7861968000001,19.1759,72.9522,240.0
35,1,0,3,1174.210077,12.852171,80.216826,55.0
36,0,1,2,1020.087884,18.5993,73.7625,65.0
37,1,0,4,1650.165017,22.312063,72.674296,65.0
38,0,1,2,1000.0,17.815234,83.35818,35.0
39,1,0,3,1300.052002,12.894088,77.548914,75.0
41,0,0,2,1058.114928,18.539812,73.737678,65.0
42,0,1,1,400.0,18.5438,73.9438,30.0
43,0,0,3,1274.924779,22.803593,83.755013,250.0
44,0,0,2,1026.694045,19.014858,72.8662,220.0
45,1,0,2,1150.121065,20.366670000000003,72.9,38.0
46,1,0,3,1200.0,28.460928000000003,77.03939100000001,60.0
47,0,0,1,475.0103263,24.69028,78.41889,46.0
48,2,1,1,301.91711630000003,24.69028,78.41889,26.3
49,0,1,2,1228.571429,12.843852,74.845271,51.6
50,1,0,2,986.0164934,13.077175,80.151453,55.0
51,0,1,3,1972.565158,28.431862,77.351104,71.9
52,0,1,1,420.6166888,19.048403,72.88731,130.0
53,1,0,3,1275.009808,25.232239,71.392013,32.5
54,0,1,1,406.024219,19.245347,73.124577,39.9
55,0,0,3,1862.562189,28.431862,77.351104,59.9
56,1,0,2,950.0146156,19.88879,75.34344,65.0
58,0,0,2,1049.969344,12.985039,77.54383,68.5
59,0,0,3,1615.008157,22.589694,88.372957,99.0
60,0,0,3,1150.0069,19.014858,72.8662,250.0
61,1,0,2,1100.0,26.955346,75.73479300000001,27.5
62,0,1,2,906.2661833,24.69028,78.41889,70.0
63,1,0,3,1454.333915,10.77,76.38,50.0
64,1,0,3,1591.994542,28.506454,77.40956800000001,70.0
65,0,0,2,573.8769151,28.406388,77.342588,22.1
66,0,0,3,1038.883942,19.12,72.91,280.0
67,1,0,3,1538.141758,13.11389,77.59833,74.0
69,0,0,3,1602.084012,28.368269,77.37273,49.2
70,1,0,2,1200.0,16.51667,80.61667,45.0
71,1,0,2,760.0709400000001,15.86667,74.5,60.0
72,1,1,2,739.8273736000001,23.25,77.41667,30.0
73,1,0,2,1260.02291,13.0915,74.7844,33.0
74,1,0,2,1100.151745,21.093676,79.111965,29.0
75,0,0,3,2293.077091,18.5438,73.9438,210.0
76,0,0,2,1146.480331,19.216097,72.821721,88.6
78,0,0,2,759.8784195000001,22.452032,88.298947,30.0
79,1,0,4,2260.251857,12.9506,77.5952,140.0
80,0,0,3,767.0182167,20.742166,80.104602,240.0
81,1,0,4,2500.0,28.66667,77.41667,160.0
82,0,1,4,2286.236854,21.0,77.0,100.0
83,1,0,2,1150.086256,28.577673,77.389781,60.0
84,0,0,2,1004.932182,18.966114,73.148278,81.5
85,1,0,2,800.0,22.56972,88.36972,34.0
86,0,1,3,993.75,26.706157,88.439748,31.8
87,0,0,2,1298.139334,23.169982,77.477889,30.0
88,0,0,2,996.797438,26.900926,75.775927,24.9
89,1,0,2,985.0194952,12.98556,77.66389000000001,48.0
90,0,0,3,1118.75,12.91716,80.19287,53.7
91,0,0,2,889.8305085000001,28.506454,77.40956800000001,42.0
92,1,0,3,2738.22563,12.863421,77.652405,150.0
94,0,1,3,2488.004265,30.654128000000004,76.732427,140.0
95,0,0,3,1200.082764,23.207157,88.404471,58.0
96,0,0,2,1584.283904,26.459137,79.506922,100.0
98,0,0,2,1193.440032,18.441256,74.647361,60.4
99,1,0,2,1487.357462,26.8626,75.7633,30.0
100,1,1,2,989.9029895,28.5035,77.426447,50.0
101,0,0,2,1155.020213,19.147866,72.932609,140.0
102,1,0,2,949.893137,11.93,79.83,80.0
103,1,0,2,875.0,28.560719,77.386208,49.0
104,0,0,2,853.3611982000001,12.96991,77.59796,24.5
106,0,0,2,800.0,19.18,72.96333,95.0
107,1,0,2,802.0415602999999,28.66667,77.41667,22.0
108,0,0,2,610.0660905,13.069866,80.19842299999999,48.0
109,1,0,3,1680.107527,28.861993,78.756315,75.0
110,1,0,2,1150.136038,19.980678,79.297436,93.0
111,1,0,3,1550.114497,28.576117,77.382136,88.0
112,1,0,5,1699.834163,28.6711,77.3683,82.0
113,1,1,3,1600.170685,9.952439,76.36329649999999,75.0
114,1,0,1,600.0566091,18.75,73.08,21.2
115,0,0,2,1429.200617,30.661104,76.746082,64.9
116,1,0,2,1115.1379980000002,13.008071,77.65129499999999,80.0
117,0,0,4,2750.929368,27.216013,77.950834,74.0
118,1,0,3,1811.196487,23.35556,85.33471999999999,99.0
119,1,0,2,1045.036079,22.43917,88.39583,42.0
121,1,0,3,1298.219585,12.840956,77.659441,70.0
122,1,1,2,1109.165207,13.278237,74.747328,38.0
124,0,0,2,1041.195111,28.59632,77.38143000000001,46.0
125,0,0,3,2135.748916,28.394375,77.35722700000001,83.7
126,1,0,3,1850.180505,28.579004,77.431173,82.0
127,0,0,3,1665.080875,23.166495,72.63429000000001,70.0
129,1,0,2,1005.025126,12.80009,77.71181999999999,48.0
131,0,0,2,1294.016156,19.128324,72.825408,330.0
132,0,0,3,1536.806516,28.6423,77.3445,100.0
133,1,0,2,1123.188406,12.9816,77.6729,62.0
135,0,0,4,2655.807365,19.239813,72.962722,300.0
136,0,0,3,1513.775356,12.905368,77.580403,100.0
137,1,0,3,1280.0,9.930471,76.271273,48.0
140,0,0,2,890.0451868999999,28.582887,77.339935,65.0
141,1,0,2,977.7082519,22.1764,75.8193,25.0
142,0,0,2,1099.855282,12.977126,77.577724,38.0
143,1,1,2,1050.241272,26.29564,73.03943000000001,37.0
144,0,0,3,1400.241838,26.900926,75.775927,57.9
145,0,0,3,1740.139211,19.048979,73.078232,180.0
146,0,0,2,1149.131767,24.69028,78.41889,180.0
148,1,0,2,1355.01355,26.878068,75.77985600000001,85.0
149,0,0,3,1800.0720030000002,12.96991,77.59796,150.0
150,0,0,2,907.6305221,21.56128,74.21238000000001,33.9
151,0,0,3,1636.296021,13.141581,77.749756,88.0
152,1,0,2,900.2520706,22.261354,73.215533,25.0
153,1,0,2,1318.0440230000002,12.905538,77.694263,100.0
154,0,0,3,1949.586451,30.684523,76.691728,99.0
155,0,0,3,1643.36522,9.930471,76.271273,67.0
156,0,0,3,1233.045623,18.96,72.82,210.0
157,0,0,1,655.0802139,18.964489,73.019574,49.0
158,1,0,2,1180.173092,12.96991,77.59796,75.0
159,1,0,3,1200.087279,28.6711,77.3683,55.0
161,1,1,4,2700.075602,28.535689,77.35967099999999,250.0
162,1,0,2,850.0991782,26.928785,75.828002,30.0
163,0,1,4,2636.296531,12.8855,77.5638,250.0
164,1,0,2,900.0163639,12.928575,77.58572099999999,55.0
165,0,1,4,2472.952087,18.475864,73.89000899999999,160.0
166,0,0,2,904.0656205,20.098413,79.10786,50.7
167,0,1,1,265.0033933,19.1145,72.8712,82.0
168,0,1,3,1570.306924,26.16667,75.78333,110.0
169,0,0,2,955.4140127,19.255098,72.9815265,150.0
170,0,0,2,1000.0,28.593566,77.362752,60.0
171,0,0,4,2494.747899,12.995285,77.766797,95.0
172,1,0,2,1150.130348,13.1101,80.2095,75.0
173,0,0,2,1210.136674,19.0168,73.09646,85.0
174,0,0,2,1365.001365,19.126499,72.99956,200.0
175,0,1,2,499.6366279,19.255098,72.9815265,110.0
176,0,0,2,1050.144395,22.271214,73.188827,40.0
177,1,0,1,476.0204688999999,13.020957,80.152774,40.0
178,0,0,2,985.452839,28.538774,77.366515,21.0
179,0,0,2,1045.296167,28.368269,77.37273,24.0
180,0,1,2,1301.89498,12.86,77.786,90.0
181,1,0,2,2000.0,28.2102,76.8606,38.0
183,0,0,2,1192.0,20.286571,85.810906,59.6
184,0,1,3,1846.153846,22.5922,88.484911,120.0
185,0,1,1,448.5310608,19.221571,73.042474,120.0
186,1,0,2,750.0604887000001,28.66667,77.41667,31.0
187,0,0,2,1060.0706710000002,19.040066,73.115347,72.0
188,0,0,3,1415.09434,12.8458,77.6727,79.5
189,0,0,2,1160.062565,18.96,72.82,89.0
191,1,1,3,1672.762741,28.495803,77.42684799999999,68.6
192,1,0,2,1315.265046,20.606469,72.913465,33.0
193,0,0,1,650.026001,19.245347,73.124577,50.0
195,0,0,3,1830.065359,20.098413,79.10786,98.0
196,0,0,3,1575.157516,28.66667,77.41667,70.0
197,0,0,3,1530.0,12.904179,77.665897,76.5
198,1,0,2,619.6377502,12.758604,77.700377,26.0
199,1,0,4,2200.0,21.17,72.83,110.0
200,0,0,3,1757.188498,40.67197199,-86.15292909,77.0
201,0,0,2,1087.885617,19.239813,72.962722,140.0
202,1,0,2,1199.862873,12.880993,77.557654,70.0
203,1,0,2,1265.035255,13.033421,77.603954,61.0
205,1,0,2,800.0,28.678014,77.38296,42.0
206,1,0,2,750.0750075,22.486821,88.233267,25.0
